analysis_id	stratum_1	stratum_2	stratum_3	stratum_4	stratum_5	count_value	min_value	max_value	avg_value	stdev_value	median_value	p10_value	p25_value	p75_value	p90_value
406	80502	8532				26	60	90	71.4230769230769	9.41561714142234	70	60	61	80	81
406	81151	8507				51	1	100	37.7647058823529	27.5365852896063	30	4	16	57	73
406	81151	8532				51	2	94	31.5490196078431	23.8975427401984	21	6	12	54	62
406	133834	8507				8	0	2	0.875	0.640869944461656	1	0	0	1	2
406	133834	8532				14	0	3	0.642857142857143	0.928782731664065	0	0	0	1	2
406	134438	8507				7	18	34	28.1428571428571	5.39841246505462	30	18	25	32	34
406	134438	8532				6	18	30	25.8333333333333	4.21505239192429	26	18	25	28	30
406	137613	8532				25	19	50	32	8.31163842652779	31	23	27	36	45
406	192279	8507				26	29	70	46.0769230769231	10.8329980224242	45	30	38	55	60
406	192279	8532				14	33	75	45.9285714285714	12.1114331599036	42	34	36	56	58
406	195588	8532				20	20	59	40.15	12.4404899209671	42	21	31	48	55
406	199076	8532				29	18	51	34	10.0463212883409	33	22	25	44	48
406	200970	8507				38	60	87	67.3421052631579	6.92928105856735	65	61	63	70	77
406	201826	8507				51	20	51	34.921568627451	9.00631586666802	33	25	28	42	48
406	201826	8532				38	18	51	34.9210526315789	9.27181599445291	32	22	28	42	49
406	257012	8507				146	0	79	26.6164383561644	20.0025033860756	22	4	10	44	54
406	257012	8532				135	0	80	28.4666666666667	20.2395357152813	25	3	12	44	59
406	258780	8507				11	22	59	34.4545454545455	9.91326017376359	34	25	28	38	42
406	258780	8532				9	20	59	34.5555555555556	12.187197289688	31	20	30	40	59
406	260139	8507				242	1	104	43.7479338842975	23.1598830401935	43	14	26	61	74
406	260139	8532				239	0	99	34.8451882845188	22.143086252077	33	6	15	50	64
406	261325	8507				14	19	96	48	20.8400501992604	42	28	36	60	78
406	261325	8532				17	21	69	38.2352941176471	13.7546783484961	36	24	28	43	67
406	313217	8507				24	46	98	66.5833333333333	14.7763520433883	65	48	52	75	85
406	313217	8532				12	52	82	65.6666666666667	11.3003083894631	64	53	54	76	80
406	317576	8507				58	2	97	52.2068965517241	22.1476374889059	57	17	37	67	77
406	317576	8532				19	5	99	45.4736842105263	29.3416056916012	40	6	17	75	88
406	320128	8507				163	18	50	20.1104294478528	6.28343514503361	18	18	18	18	25
406	320128	8532				162	18	49	19.2345679012346	4.87169950051428	18	18	18	18	19
406	321042	8507				25	2	93	38.88	23.2689349419636	31	13	22	55	69
406	321042	8532				23	1	58	25.3478260869565	17.3299758580647	19	8	12	41	53
406	372328	8507				52	0	68	12.7307692307692	19.9961911908688	3	1	1	13	50
406	372328	8532				62	0	80	11.5967741935484	19.5166676789978	3	0	1	10	45
406	375671	8507				9	7	73	51	23.6484671807709	60	7	38	69	73
406	375671	8532				6	28	61	47.5	10.821275340735	48	28	47	52	61
406	378001	8507				34	3	77	37.3529411764706	20.823766074166	36	10	21	52	58
406	378001	8532				37	1	85	36.6486486486486	18.8402881203143	35	11	24	51	61
406	378419	8507				24	69	91	77.9583333333333	5.91592667346352	78	71	72	82	84
406	378419	8532				17	69	89	78.3529411764706	5.34954643486936	79	70	76	81	86
406	380378	8507				8	0	35	12.875	12.6540507348438	10	0	0	16	35
406	380378	8532				8	0	41	9.125	14.106103035819	2	0	0	13	41
406	381316	8507				37	21	90	60.6216216216216	18.1251074347028	60	31	52	70	88
406	381316	8532				22	20	103	56.5909090909091	22.1803411260407	51	27	43	73	83
406	432867	8507				81	40	79	52.9382716049383	9.68806698858491	50	42	46	61	67
406	432867	8532				60	40	76	53.0166666666667	10.000833298614	50	42	44	58	69
406	436096	8507				19	14	86	30.2105263157895	20.4819132878212	19	14	15	49	58
406	436096	8532				38	14	75	27.8157894736842	18.1537804314826	20	14	15	32	66
406	436940	8507				51	21	55	36.9607843137255	9.07956118832562	34	27	29	45	50
406	436940	8532				36	19	52	37.25	8.8265023002967	35	27	31	44	50
406	439393	8532				20	22	50	30.7	7.30608974543983	29	22	26	32	35
406	439777	8507				224	18	78	37.2008928571429	11.4871657417183	36	23	28	45	51
406	439777	8532				154	16	83	32.4350649350649	11.0541893544184	31	21	24	40	47
406	440086	8507				7	7	14	10.2857142857143	2.6903708365382	9	7	8	13	14
406	440086	8532				6	9	13	10.6666666666667	1.63299316185545	10	9	9	12	13
406	440448	8507				29	5	79	27.9310344827586	18.6335546690885	22	5	16	40	54
406	440448	8532				27	1	72	24.6666666666667	18.7206180042631	24	2	11	35	54
406	440674	8507				8	25	78	48.5	21.3875798403787	35	25	26	62	78
406	443614	8507				26	29	70	46.0769230769231	10.8329980224242	45	30	38	55	60
406	443614	8532				11	34	75	48.2727272727273	12.5386674658108	49	36	37	57	58
406	4029498	8507				21	0	58	13.2857142857143	15.7198691379504	9	0	1	16	35
406	4029498	8532				21	0	79	10.1904761904762	19.309632434666	0	0	0	12	32
406	4048171	8507				17	2	5	3.52941176470588	1.12459142907677	4	2	3	4	5
406	4048171	8532				15	2	5	3.4	1.18321595661992	4	2	2	4	5
406	4051466	8507				16	2	4	2.9375	0.928708781050336	3	2	2	4	4
406	4051466	8532				14	2	4	3.21428571428571	0.892582375303981	3	2	2	4	4
406	4055754	8507				19	14	62	29.8947368421053	16.8783053942763	20	14	14	48	51
406	4055754	8532				41	14	75	27.8048780487805	17.3640714007331	20	15	15	31	56
406	4056621	8532				9	16	48	27.3333333333333	10.6653645038508	24	16	19	32	48
406	4059173	8507				19	1	85	38.3157894736842	30.0371115484735	38	3	9	75	76
406	4059173	8532				16	1	107	51.6875	35.8770469799285	54	8	9	78	100
406	4078393	8532				202	15	51	32.039603960396	9.17537347737614	31	20	25	38	46
406	4079749	8507				17	38	60	48	6.80073525436772	49	38	43	53	59
406	4079749	8532				10	36	58	48	8.65383665716478	45	36	39	55	58
406	4079750	8507				40	31	64	47.075	8.78923438222244	45	36	39	54	60
406	4079750	8532				23	31	63	48.5652173913044	8.52176937963495	48	36	43	55	59
406	4084167	8507				7	0	44	13.5714285714286	15.6403020309407	8	0	1	24	44
406	4109685	8507				21	1	88	37.5238095238095	25.6254152115025	30	6	22	46	69
406	4109685	8532				21	7	82	43.2380952380952	18.7000127323613	43	17	37	49	66
406	4112343	8507				259	0	103	41.5598455598456	23.5019232590714	42	9	22	60	71
406	4112343	8532				255	1	95	36.9529411764706	21.5358550408161	38	9	19	53	64
406	4112853	8532				26	28	82	53.5769230769231	13.2458992202812	52	35	46	63	71
406	4113008	8507				19	5	87	44.2631578947368	22.1581239309728	43	12	24	61	69
406	4113008	8532				15	5	65	44.4	19.0368064548653	50	14	38	62	63
406	4115276	8507				8	53	81	68.875	9.06228448019593	68	53	63	76	81
406	4116491	8532				31	21	52	36.2258064516129	9.0248164428955	38	26	28	45	46
406	4120314	8507				52	21	53	35.8269230769231	9.09798761167557	33	25	28	44	50
406	4120314	8532				36	19	52	36.5555555555556	9.25957248147465	35	25	28	44	50
406	4129902	8507				41	60	87	67.1707317073171	6.7375902184104	65	61	63	69	76
406	4134304	8507				18	5	82	37.6666666666667	26.7955220139485	25	10	14	72	76
406	4134304	8532				15	3	100	34.4666666666667	28.1523068495706	26	10	12	47	91
406	4142905	8507				15	1	87	40.3333333333333	35.4494945897211	16	3	9	76	80
406	4142905	8532				6	4	70	26	25.3850349615674	14	4	11	43	70
406	4152936	8507				16	3	82	40.3125	29.0533274055371	45	9	11	58	82
406	4152936	8532				8	9	80	43.125	25.0909061500092	40	9	12	57	80
406	4155034	8507				19	2	90	44.8947368421053	29.2857468875259	50	6	12	65	88
406	4155034	8532				17	3	87	47.5294117647059	28.4190025490402	51	3	31	67	84
406	4156265	8507				15	5	83	44.3333333333333	23.6995077304713	50	14	23	61	78
406	4156265	8532				12	4	82	41.4166666666667	21.0084759229712	33	23	27	49	66
406	4166224	8507				11	5	54	26.3636363636364	17.8844777797549	26	5	6	42	49
406	4166224	8532				8	12	43	24.125	10.6158574110351	24	12	14	28	43
406	4196262	8507				8	60	69	64	3.25137333621173	63	60	62	63	69
406	4208104	8507				19	15	72	39.6315789473684	17.926425330952	31	22	25	58	71
406	4208104	8532				39	14	88	35.8205128205128	18.9443392390386	30	18	21	46	67
406	4214376	8507				26	24	55	41.3461538461538	8.03463655776567	42	30	36	48	51
406	4214376	8532				19	23	51	39.7894736842105	8.29041580091414	41	26	33	47	50
406	4217975	8532				224	15	51	30.3348214285714	10.0250556942096	28	19	22	37	46
406	4218106	8507				8	27	64	44.625	11.070391656512	44	27	34	46	64
406	4218389	8507				27	1	89	46.7407407407407	27.1457499047593	48	5	22	70	80
406	4218389	8532				24	3	71	36.2916666666667	17.2134405692727	33	14	24	49	58
406	4226121	8507				10	36	60	44.8	8.35064867739826	40	36	38	53	55
406	4229440	8507				41	52	93	72.2926829268293	9.71659380245728	70	63	65	79	86
406	4229440	8532				21	52	95	72.6666666666667	13.8576092214109	73	55	63	85	89
406	4237458	8507				26	2	95	52.3461538461538	28.8651240187078	63	12	23	76	82
406	4237458	8532				15	1	83	32.8	29.3749164132549	17	6	12	67	82
406	4262136	8532				19	19	48	36.3157894736842	9.46955725574765	39	23	29	45	47
406	4278672	8507				20	7	100	50.75	32.7235228447125	41	10	18	79	89
406	4278672	8532				19	1	95	50.2631578947368	29.677604922199	46	4	23	71	94
406	4280726	8507				10	2	5	3.5	1.17851130197758	3	2	3	5	5
406	4280726	8532				8	2	5	3.25	1.16496474502144	3	2	2	4	5
406	4283893	8507				37	1	104	43.4054054054054	25.0958821981476	47	11	19	64	71
406	4283893	8532				44	0	90	47.3636363636364	22.9094180989421	52	17	29	62	73
406	4285898	8507				53	50	80	60.2830188679245	10.1078365609039	55	50	50	70	75
406	4285898	8532				37	50	75	59.2702702702703	7.29782558425852	60	50	55	65	70
406	4294548	8507				36	2	91	40.5833333333333	23.337737679561	38	11	25	55	73
406	4294548	8532				26	3	80	44.8076923076923	20.2247753624494	48	13	29	62	69
406	4296204	8507				6	9	57	33.5	21.0119013894507	28	9	11	55	57
406	4296204	8532				15	7	74	46.6	17.7071414164697	47	24	36	58	69
406	4296205	8532				18	13	76	43.1111111111111	16.7538894128353	44	21	32	53	70
406	4309027	8532				9	53	68	58.4444444444444	4.8762462794426	58	53	54	61	68
406	4310703	8507				8	53	81	68.875	9.06228448019593	68	53	63	76	81
406	4311629	8507				202	18	55	34.7871287128713	9.93407286338249	34	22	27	43	48
406	4311629	8532				175	18	55	33.1085714285714	10.1983030881853	33	21	23	42	47
406	4329847	8507				23	28	101	63.8260869565217	19.7798156391653	68	37	46	77	88
406	37016354	8507				16	27	64	42.5625	11.1473090923326	39	30	34	47	60
406	37016354	8532				17	30	61	42.1176470588235	10.6059084531994	40	30	33	53	56
406	37017023	8507				18	51	81	64.2222222222222	10.52479177134	62	51	56	71	81
406	40318618	8532				41	20	51	35.9756097560976	10.0436243579647	35	24	27	46	49
406	40479768	8532				6	1	75	30.8333333333333	27.2574148933215	18	1	18	52	75
406	40480160	8507				7	70	100	81.5714285714286	11.8723367940933	75	70	72	92	100
406	40480160	8532				10	71	100	86.1	10.2680734966854	85	71	76	95	100
406	40481087	8507				371	0	107	41.7762803234501	23.7871434311289	43	11	22	61	73
406	40481087	8532				368	0	103	36.8885869565217	22.8714231023807	37	7	17	52	68
406	40486433	8507				10	2	5	2.9	0.994428926011753	3	2	2	3	4
406	40486433	8532				18	2	6	3.5	1.04318516770401	3	2	3	4	5
406	43530652	8507				24	14	76	29.1666666666667	15.8434368984013	26	14	14	35	49
406	43530652	8532				37	14	76	28.8108108108108	18.9895261157856	22	14	15	33	71
406	43530656	8507				6	41	62	50.6666666666667	8.31063575586529	51	41	41	55	62
2000406	0.392003 secs					6									
2000506	0.191016 secs					6									
2000511	0.160003 secs					6									
2000512	0.057002 secs					6									
2000513	0.185036 secs					6									
2000514	0.056030 secs					6									
2000515	0.203001 secs					6									
603						1173	1	28	6.1705029838022165	5.7059560675142209	4	1	2	8	17
2000603	0.208002 secs					6									
606	0	8507				290	0	101	41.0862068965517	24.1567004343309	40	8	22	60	74
606	0	8532				393	1	109	33.6259541984733	19.9885180859764	30	10	19	46	59
606	4015590	8532				65	17	48	26.2615384615385	5.82365038838647	25	21	22	29	33
606	4015701	8532				41	16	51	30.8292682926829	8.4347567807981	29	22	26	35	44
606	4018619	8507				41	50	80	62.7560975609756	10.542249493834	65	50	50	70	77
606	4018619	8532				32	50	76	60.34375	8.0946393053595	60	50	55	65	71
606	4024289	8507				19	1	85	38.3157894736842	30.0371115484735	38	3	9	75	76
606	4024289	8532				16	1	107	51.6875	35.8770469799285	54	8	9	78	100
606	4035793	8507				15	29	83	56.6	15.4633206561296	60	37	46	65	81
606	4035793	8532				13	34	87	52.3076923076923	15.8607724453793	48	36	42	56	77
606	4037675	8507				40	18	78	41.175	16.0574090255989	37	22	28	50	61
606	4037675	8532				53	16	83	33.3207547169811	13.0793048287768	30	20	25	40	48
606	4047491	8507				19	7	100	48.5789473684211	32.1062745502663	41	10	18	79	89
606	4047491	8532				19	1	95	50.2631578947368	29.677604922199	46	4	23	71	94
606	4047494	8532				14	35	82	57.3571428571429	13.4599528108508	54	42	50	66	79
606	4057420	8507				29	11	103	68.5172413793103	21.2965803587188	71	44	57	83	99
606	4057420	8532				17	1	90	48.4705882352941	27.3247087062672	54	11	19	68	81
606	4058899	8507				25	2	95	53.24	29.0907774618234	66	12	23	76	82
606	4058899	8532				15	1	83	32.8	29.3749164132549	17	6	12	67	82
606	4059978	8532				92	14	49	35.6739130434783	8.92103169470045	35	24	28	43	47
606	4060626	8532				219	15	51	30.6986301369863	9.97338421050148	29	19	22	38	46
606	4061811	8532				184	15	51	30.054347826087	9.05099593642586	29	19	23	35	44
606	4062501	8532				6	2	4	3.16666666666667	0.983192080250175	3	2	2	4	4
606	4064377	8532				219	16	51	31.0730593607306	9.93345543744234	29	19	23	38	46
606	4075363	8532				190	15	51	30.1473684210526	9.12693371095007	29	19	23	35	44
606	4077697	8532				7	42	82	62.4285714285714	14.6612544126477	63	42	51	79	82
606	4078199	8532				59	16	50	30.3220338983051	8.00956470892253	28	20	25	36	42
606	4078793	8507				24	48	99	73.9583333333333	14.6390756617993	73	55	61	82	94
606	4078793	8532				12	53	90	68.3333333333333	12.1156047636046	65	53	59	80	82
606	4081880	8532				7	35	67	52.2857142857143	10.8430359480834	50	35	46	64	67
606	4107731	8507				13	13	63	22.3846153846154	14.5289278196894	13	13	13	27	34
606	4107731	8532				18	13	45	20.0555555555556	9.02592489783944	14	13	13	26	30
606	4117038	8532				33	25	36	33.6969696969697	3.95667828238575	35	26	35	36	36
606	4125906	8507				83	1	90	40.4939759036145	25.1194092160876	41	7	21	59	78
606	4125906	8532				71	3	87	43.5633802816901	21.7391893621807	43	12	32	61	69
606	4127235	8532				9	18	50	36.2222222222222	11.7130032205427	39	18	32	46	50
606	4127260	8532				18	17	47	30.6666666666667	7.12080629935551	31	22	26	34	41
606	4128031	8532				24	16	46	31.25	8.20524752560956	32	19	25	36	43
606	4146053	8532				15	43	94	64.5333333333333	15.1745400808943	56	51	54	81	85
606	4150653	8532				185	15	51	30.2972972972973	9.19139739832633	29	19	23	35	45
606	4150970	8532				46	16	45	30.3478260869565	8.46224921848493	29	20	24	35	44
606	4151422	8507				53	7	97	45.9245283018868	23.1806028465809	45	15	28	63	74
606	4151422	8532				63	4	88	37.6825396825397	23.6130263371898	35	10	17	57	73
606	4161390	8532				14	35	82	57.3571428571429	13.4599528108508	54	42	50	66	79
606	4163708	8532				182	15	51	30.4450549450549	9.29116212555637	29	19	23	36	45
606	4163872	8507				60	1	93	61.3166666666667	24.4446740701422	68	10	54	76	84
606	4163872	8532				45	4	95	52.3333333333333	26.3559549938219	58	11	32	71	89
606	4166761	8507				42	50	80	62.6190476190476	10.4507028143925	65	50	50	70	77
606	4166761	8532				32	50	76	60.34375	8.0946393053595	60	50	55	65	71
606	4168236	8532				190	15	51	30.1473684210526	9.12693371095007	29	19	23	35	44
606	4170947	8507				63	1	100	39.1587301587302	30.6189938675044	25	7	11	73	79
606	4170947	8532				53	1	107	43.4339622641509	31.2948198183036	42	8	14	70	88
606	4181781	8507				11	51	81	65.7272727272727	10.705988128995	62	56	56	76	81
606	4181781	8532				6	51	71	60.1666666666667	8.54205283679905	55	51	52	67	71
606	4181917	8507				10	0	58	12.3	17.1532309881647	9	0	1	14	17
606	4181917	8532				9	0	79	16	26.9397475860484	3	0	0	11	79
606	4186930	8532				55	23	70	40.8727272727273	9.66293902352646	41	27	34	47	54
606	4187458	8507				40	18	78	41.175	16.0574090255989	37	22	28	50	61
606	4187458	8532				53	16	83	33.3207547169811	13.0793048287768	30	20	25	40	48
606	4191853	8507				25	0	63	13.4	15.2123853049634	13	0	1	19	32
606	4191853	8532				27	0	45	14.0740740740741	11.6286315284762	13	1	1	25	28
606	4195803	8507				59	8	95	68.5423728813559	16.6073540356512	71	53	60	76	85
606	4195803	8532				33	20	107	67.1212121212121	16.0073373327624	70	47	61	76	81
606	4197460	8507				7	0	44	13.5714285714286	15.6403020309407	8	0	1	24	44
606	4198190	8507				8	18	79	39.25	20.7071416251909	40	18	20	42	79
606	4198190	8532				7	11	72	38.4285714285714	22.2175391890967	35	11	19	54	72
606	4199235	8507				41	52	93	72.2926829268293	9.71659380245728	70	63	65	79	86
606	4199235	8532				21	52	95	72.7142857142857	13.8605297775477	73	55	63	85	89
606	4199276	8532				55	19	51	37.4	9.77828281523984	35	23	30	48	50
606	4199458	8532				36	16	51	30.0833333333333	8.61684396980704	31	19	21	35	42
606	4202451	8507				18	21	90	68.0555555555556	17.860479613553	69	47	59	85	89
606	4202451	8532				14	41	103	68.1428571428571	19.1144614719494	65	48	51	83	89
606	4213045	8532				8	35	82	53.625	14.6963309318055	50	35	42	54	82
606	4216130	8507				22	28	101	64.5	19.8152178171944	68	37	49	77	88
606	4230911	8507				46	11	101	63.4347826086956	20.5476705075058	67	35	49	77	88
606	4230911	8532				26	1	103	53.8461538461538	26.8934078282278	51	13	41	77	88
606	4234541	8532				199	15	94	32.6532663316583	13.2388842981202	30	20	23	39	49
606	4235738	8507				22	60	82	66.5454545454545	6.2923027257971	63	61	61	71	75
606	4238715	8532				86	18	51	37.2441860465116	9.96456787116717	37	24	29	46	51
606	4240345	8532				224	15	51	30.7142857142857	9.94958463781712	29	19	22	37	46
606	4243062	8507				17	5	82	37.4705882352941	27.6068778727757	25	10	14	72	76
606	4243062	8532				14	3	100	36.0714285714286	28.4941675157844	26	10	18	47	91
606	4249893	8507				171	50	80	58.7543859649123	9.22008173069757	55	50	50	65	72
606	4249893	8532				144	50	80	56.2361111111111	7.84819796795489	55	50	50	60	70
606	4252419	8507				13	8	74	33	19.1441897190766	32	10	19	39	58
606	4252419	8532				15	1	75	33.1333333333333	19.4784374067717	28	18	21	48	65
606	4254766	8507				37	60	76	63	4.18993502999218	61	60	60	64	71
606	4273629	8532				7	35	79	57.5714285714286	14.489733639801	54	35	50	67	79
606	4275113	8532				132	15	50	34.6287878787879	9.2269149137125	35	23	28	43	47
606	4276519	8507				8	14	62	28.75	18.1796589626978	19	14	14	37	62
606	4276519	8532				14	15	80	33.2142857142857	19.9236178805595	25	15	15	45	59
606	4278515	8507				32	60	82	65.34375	5.38581994236838	63	61	61	69	72
606	4293740	8507				13	1	82	35.2307692307692	26.577414741825	33	3	11	50	69
606	4293740	8532				13	3	80	42.1538461538462	25.5598844345528	39	12	17	63	78
606	4294513	8532				8	55	72	64.25	7.94175223558558	65	55	55	71	72
606	4295880	8532				114	14	50	33.2105263157895	10.8729376514292	32	17	25	43	48
606	4302356	8507				8	53	81	68.875	9.06228448019593	68	53	63	76	81
606	4311671	8532				70	17	51	30.6142857142857	8.60618728748853	30	20	24	33	44
606	4324693	8532				21	43	95	63.1904761904762	15.9455920166642	56	47	52	69	85
606	4326177	8507				581	0	102	38.6144578313253	24.4709411961312	40	3	18	58	70
606	4326177	8532				577	0	102	34.0155979202773	22.7994296506208	35	2	15	50	63
606	4335825	8507				29	60	93	74.8965517241379	9.34017752808573	73	65	67	83	90
606	4335825	8532				19	54	95	74.4210526315789	13.7691918163287	74	54	63	89	95
606	4336464	8507				22	28	101	64.5	19.8152178171944	68	37	49	77	88
606	37018340	8532				65	17	48	26.2615384615385	5.82365038838647	25	21	22	29	33
606	40481948	8532				185	15	51	30.2162162162162	9.14774602534968	29	19	23	35	45
606	40492359	8507				9	11	93	53.7777777777778	25.4596630858392	55	11	44	69	93
606	40492359	8532				8	1	58	25.75	20.2043135422683	16	1	11	41	58
606	42535066	8532				9	35	79	53.8888888888889	13.4670379486772	50	35	46	63	79
606	44783196	8507				9	8	74	36.3333333333333	18.1107702762748	32	8	29	39	74
606	44783196	8532				9	1	52	28	16.0857079421454	24	1	18	36	52
606	44784284	8507				8	53	81	68.875	9.06228448019593	68	53	63	76	81
606	44805732	8532				32	18	51	37.15625	9.34675853765841	38	23	30	45	47
606	45766298	8507				13	53	81	67.0769230769231	9.81887246124811	68	56	57	76	81
606	45766298	8532				8	50	67	59.25	6.13537750614069	60	50	51	63	67
2000606	0.348032 secs					6									
703						1178	1	22	9.1443123938879457	3.2307816053830434	9	5	7	11	14
2000703	0.090000 secs					6									
706	0	8507				586	0	75	19.0870307167236	13.756649452528	18	1	7	28	38
706	0	8532				591	0	52	16.2453468697124	11.4402963621601	18	0	6	22	32
706	920300	8532				46	21	60	37.3695652173913	10.3373297554751	38	23	28	46	52
706	920334	8532				7	21	60	31.2857142857143	13.3630620956212	29	21	21	32	60
706	957138	8507				41	52	93	72.2926829268293	9.71659380245728	70	63	65	79	86
706	957138	8532				21	52	95	72.7142857142857	13.8605297775477	73	55	63	85	89
706	964261	8507				29	0	78	31.2413793103448	13.6529828567496	31	18	22	37	43
706	964261	8532				21	0	60	28.7619047619048	11.7596971130415	28	18	23	34	40
706	1115171	8507				147	12	100	43.7551020408163	18.2503863110679	43	17	32	55	66
706	1115171	8532				127	12	95	43.8267716535433	19.2259309383823	43	16	32	55	67
706	1127078	8507				45	0	12	4.42222222222222	3.42111683577752	4	1	1	7	10
706	1127078	8532				46	0	12	4.71739130434783	3.47475366658966	4	1	2	8	10
706	1127433	8507				257	1	104	45.9922178988327	23.1761246049104	48	15	26	63	76
706	1127433	8532				253	0	100	38.1422924901186	23.1064545945496	35	9	18	55	70
706	1150771	8507				10	0	28	4.6	8.31598193574009	2	0	1	3	4
706	1150771	8532				6	1	30	9.83333333333333	13.437509689919	1	1	1	24	30
706	1150837	8507				6	1	27	6	10.3537432844358	1	1	1	4	27
706	1154615	8507				34	2	19	4	3.65148371670111	3	2	2	4	4
706	1154615	8532				35	2	4	3.05714285714286	0.838165263181051	3	2	2	4	4
706	1167323	8507				6	39	85	58.8333333333333	16.65432876662	50	39	48	69	85
706	1310034	8507				9	11	93	53.7777777777778	25.4596630858392	55	11	44	69	93
706	1310034	8532				8	1	58	25.75	20.2043135422683	16	1	11	41	58
706	1332419	8507				45	5	97	59.3555555555556	20.497400672852	63	31	48	75	82
706	1332419	8532				17	5	99	51.7058823529412	27.0734295617547	46	8	37	75	88
706	1351705	8507				38	60	87	67.3421052631579	6.92928105856735	65	61	63	70	77
706	1378388	8507				9	53	81	68.4444444444444	8.57483397960437	68	53	64	76	81
706	1378388	8532				6	50	79	60.5	10.4833200847823	60	50	51	63	79
706	1519937	8532				100	14	49	35.39	9.08422430993045	35	23	28	43	47
706	1539411	8507				47	5	97	58.6808510638298	20.1473985622254	63	31	47	75	79
706	1539411	8532				17	5	99	51.1176470588235	27.499732619021	43	6	37	75	88
706	1539464	8507				81	40	79	52.9753086419753	9.66692209113373	50	42	46	61	67
706	1539464	8532				60	40	76	53.0666666666667	10.0437461217512	50	42	44	58	69
706	1545959	8507				14	35	101	67.7857142857143	21.7297335161138	68	37	49	86	94
706	1551192	8507				7	0	44	13.5714285714286	15.6403020309407	8	0	1	24	44
706	1594382	8507				54	0	34	5.68518518518519	9.94290127750024	1	0	1	3	25
706	1594382	8532				50	0	30	6.78	9.72958878674652	2	0	1	5	25
706	1713671	8507				113	1	90	39.5221238938053	23.4810323700447	38	8	18	59	71
706	1713671	8532				115	0	102	40.8521739130435	24.4957008323447	43	8	20	59	69
706	1718412	8532				13	18	50	33.4615384615385	9.50101209183689	32	22	27	39	49
706	1718701	8507				6	14	86	27.5	28.73847595124	15	14	15	20	86
706	1718701	8532				13	14	82	28.2307692307692	19.8374807126722	18	14	15	34	48
706	1718758	8507				38	60	87	67.3421052631579	6.92928105856735	65	61	63	70	77
706	19008572	8507				19	3	34	23.3157894736842	8.07638967456614	25	10	18	29	32
706	19008572	8532				23	5	30	22	7.00649049745371	24	11	19	26	29
